Key,KR,EN,JA,ZH_CN,ZH_TW,RU
external.ungrouped,전체 / 그룹 없음,All / ungrouped,すべて / グループなし,全部 / 未分组,全部 / 未分組,Все / без группы
external.addGroup,그룹 추가,Add group,グループを追加,添加分组,新增群組,Добавить группу
external.clearLayer,현재 레이어 비우기,Clear current layer,現在のレイヤーを消去,清空当前图层,清空目前圖層,Очистить текущий слой
external.clearObjects,방의 객체 모두 지우기,Clear room objects,部屋のオブジェクトを消去,清空房间对象,清空房間物件,Очистить объекты комнаты
external.crop,크기 변경 시 잘리는 타일 삭제 허용,Allow terrain cropping on resize,縮小時のタイル削除を許可,允许缩小时裁剪图块,允許縮小時裁切圖塊,Разрешить обрезку тайлов при изменении размера
external.connected,연결됨,connected,接続済み,已连接,已連線,Подключено
external.disconnected,연결 대기,offline,未接続,离线,離線,Нет подключения
external.serverOffline,편집 서버와 연결되지 않았습니다. 다시 연결 중…,Editor server is offline. Reconnecting…,編集サーバーに再接続中…,编辑服务器离线。正在重新连接…,編輯伺服器離線。正在重新連線…,Сервер редактора недоступен. Переподключение…
external.loading,프로젝트를 불러오는 중…,Loading project…,プロジェクトを読み込み中…,正在加载项目…,正在載入專案…,Загрузка проекта…
external.noRooms,방을 추가해서 시작하세요,Add a room to begin,部屋を追加して開始,添加房间以开始,新增房間以開始,Добавьте комнату для начала
external.noSelection,방 또는 객체를 선택하세요,Select a room or object,部屋かオブジェクトを選択,请选择房间或对象,請選取房間或物件,Выберите комнату или объект
external.noMaterials,등록된 리소스가 없습니다,No resources available,リソースがありません,没有可用资源,沒有可用資源,Нет доступных ресурсов
external.modified,저장되지 않음,Unsaved changes,未保存の変更,有未保存的更改,有未儲存的變更,Есть несохранённые изменения
external.saved,저장됨,Saved,保存済み,已保存,已儲存,Сохранено
external.working,적용 중…,Applying…,適用中…,正在应用…,正在套用…,Применение…
external.ready,준비,Ready,準備完了,就绪,就緒,Готово
external.filePath,파일 경로,File path,ファイルパス,文件路径,檔案路徑,Путь к файлу
external.exportDirectory,내보내기 폴더,Export directory,書き出し先フォルダー,导出文件夹,匯出資料夾,Папка экспорта
external.confirmDiscard,저장되지 않은 변경 사항을 버리고 계속할까요?,Discard unsaved changes and continue?,未保存の変更を破棄して続けますか？,放弃未保存的更改并继续？,捨棄未儲存的變更並繼續？,Отбросить несохранённые изменения и продолжить?
external.confirmOverwrite,선택한 위치에 같은 이름의 파일이 이미 있습니다. 덮어쓸까요?,The selected destination already contains files with the same name. Replace them?,同名のファイルがあります。上書きしますか？,目标位置已有同名文件。是否覆盖？,目標位置已有同名檔案。是否覆寫？,В выбранной папке уже есть файлы с такими именами. Заменить их?
external.confirmClear,이 작업으로 선택한 내용이 삭제됩니다. 계속할까요? 실행 취소할 수 있습니다.,Delete this content? You can undo this operation.,削除しますか？この操作は元に戻せます。,删除这些内容？此操作可以撤销。,刪除這些內容？此操作可以復原。,Удалить эти данные? Операцию можно отменить.
external.help,좌클릭 드래그: 그리기 · 휠클릭 드래그: 화면 이동 · 방 안 우클릭: 지우기 · 빈 공간 우클릭: 방 생성 메뉴 / 드래그: 화면 이동 · 휠: 줌 · Ctrl+휠: 브러시 크기,Left drag: draw · Middle drag: pan · Right inside a room: erase · Right on empty space: room menu / drag to pan · Wheel: zoom · Ctrl+wheel: brush size,左ドラッグ: 描画 · 中ドラッグ: 移動 · 部屋内の右クリック: 消去 · 空白で右クリック: 部屋メニュー / ドラッグ: 移動 · ホイール: ズーム · Ctrl+ホイール: ブラシサイズ,左键拖动：绘制 · 中键拖动：平移 · 房间内右键：擦除 · 空白处右键：房间菜单 / 拖动：平移 · 滚轮：缩放 · Ctrl+滚轮：笔刷大小,左鍵拖曳：繪製 · 中鍵拖曳：平移 · 房間內右鍵：擦除 · 空白處右鍵：房間選單 / 拖曳：平移 · 滾輪：縮放 · Ctrl+滾輪：筆刷大小,Левая: рисование · Средняя: панорама · Правая внутри комнаты: ластик · Правая на пустом месте: меню / перетаскивание: панорама · Колесо: масштаб · Ctrl+колесо: кисть
external.roomHelp,방 이름 막대 드래그: 방 이동 · 외부 핸들: 크기 조절 · 다른 방 클릭: 선택 · Del: 방 삭제,Drag room title strip: move room · Outer handles: resize · Click another room: select · Del: delete room,部屋名の帯をドラッグ: 部屋移動 · 外側ハンドル: サイズ変更 · 別の部屋をクリック: 選択 · Del: 削除,拖动房间名称条：移动房间 · 外侧控制点：调整大小 · 点击其他房间：选中 · Del：删除,拖曳房間名稱列：移動房間 · 外側控制點：調整大小 · 點擊其他房間：選取 · Del：刪除,Полоса названия: перемещение комнаты · Внешние маркеры: размер · Щелчок по другой комнате: выбор · Del: удалить
external.objectHelp,클릭: 선택 · 드래그: 이동 · Ctrl+오른쪽: 속성 · 노드 클릭: 선택,Click: select · Drag: move · Ctrl+right: properties · Click a node to select,クリック: 選択 · ドラッグ: 移動 · Ctrl+右クリック: プロパティ · ノードをクリック: 選択,点击：选择 · 拖动：移动 · Ctrl+右键：属性 · 点击节点：选择节点,點擊：選取 · 拖曳：移動 · Ctrl+右鍵：屬性 · 點擊節點：選取節點,Щелчок: выбор · Перетаскивание: перемещение · Ctrl+правая: свойства · Щелчок по узлу: выбор узла
external.nodes,노드,Nodes,ノード,节点,節點,Узлы
external.addNode,커서 위치에 노드 추가,Add node at cursor,カーソル位置にノード追加,在光标处添加节点,在游標處新增節點,Добавить узел у курсора
external.deleteNode,선택 노드 삭제,Delete selected node,選択ノードを削除,删除所选节点,刪除所選節點,Удалить выбранный узел
external.rotation,회전,Rotation,回転,旋转,旋轉,Поворот
external.scale,배율,Scale,スケール,缩放,縮放,Масштаб
external.flipH,좌우 반전,Flip horizontal,左右反転,水平翻转,水平翻轉,Отразить по горизонтали
external.flipV,상하 반전,Flip vertical,上下反転,垂直翻转,垂直翻轉,Отразить по вертикали
external.metadata,맵 설정,Map settings,マップ設定,地图设置,地圖設定,Настройки карты
external.advanced,고급 JSON,Advanced JSON,詳細JSON,高级 JSON,進階 JSON,Расширенный JSON
external.jsonHelp,원본 맵 속성·스타일그라운드·그룹을 JSON 형식으로 편집합니다.,"Edit map properties, stylegrounds and layer groups as JSON.",マップのプロパティ、背景演出、レイヤーグループをJSONで編集します。,以 JSON 编辑地图属性、背景效果和图层分组。,以 JSON 編輯地圖屬性、背景效果及圖層群組。,"Редактируйте свойства карты, фоновые эффекты и группы слоёв в JSON."
external.invalidJson,올바른 JSON을 입력하세요.,Enter valid JSON.,有効なJSONを入力してください。,请输入有效的 JSON。,請輸入有效的 JSON。,Введите корректный JSON.
external.bound,경계,Bounds,範囲,边界,邊界,Границы
external.zoom,픽셀 배율,Pixel scale,ピクセル倍率,像素倍率,像素倍率,Масштаб пикселей
external.sourcePixels,원본 픽셀,Source pixels,元のピクセル,源像素,原始像素,Исходные пиксели
external.emptyFiles,저장된 맵이 없습니다. 경로를 입력하세요.,No saved maps. Enter a path.,保存済みマップがありません。パスを入力してください。,没有已保存的地图。请输入路径。,沒有已儲存的地圖。請輸入路徑。,Нет сохранённых карт. Укажите путь.
external.changeApplied,변경 사항을 적용했습니다,Changes applied,変更を適用しました,更改已应用,變更已套用,Изменения применены
external.snap,방 스냅,Room snapping,部屋のスナップ,房间吸附,房間吸附,Привязка комнат
external.theme,지역 색,Region color,エリアの色,区域颜色,區域顏色,Цвет области
external.jsonValues,속성 JSON,Properties JSON,プロパティJSON,属性 JSON,屬性 JSON,Свойства JSON
external.shortcutDraw,타일 그리기,Draw tiles,タイルを描画,绘制图块,繪製圖塊,Рисовать тайлы
external.shortcutEraseRoom,방 안에서 지우기,Erase inside a room,部屋内を消去,擦除房间内的内容,清除房間內的內容,Стирать внутри комнаты
external.shortcutPan,화면 이동,Pan view,表示を移動,平移视图,平移視圖,Перемещать вид
external.shortcutPanEmpty,화면 이동 (빈 공간),Pan from empty space,空白から表示を移動,从空白处平移,從空白處平移,Перемещать вид с пустого места
external.shortcutRoomMenu,방 생성 메뉴 (빈 공간),Room menu on empty space,空白で部屋メニュー,空白处的房间菜单,空白處的房間選單,Меню комнаты на пустом месте
external.shortcutBrushSize,브러시 크기 조절,Change brush size,ブラシサイズ変更,调整笔刷大小,調整筆刷大小,Изменить размер кисти
external.shortcutMoveRoom,방 이동,Move room,部屋を移動,移动房间,移動房間,Переместить комнату
external.shortcutResizeRoom,방 크기 조절,Resize room,部屋のサイズ変更,调整房间大小,調整房間大小,Изменить размер комнаты
external.shortcutSelectRoom,방 선택,Select room,部屋を選択,选择房间,選取房間,Выбрать комнату
external.shortcutTileSelection,타일 영역 선택 (선택 도구),Select tiles (Selection tool),タイル領域選択（選択ツール）,选择图块区域（选择工具）,選取圖塊區域（選取工具）,Выделить тайлы (инструмент выделения)
external.shortcutMoveSelection,선택 영역 이동,Move selected area,選択領域を移動,移动所选区域,移動選取區域,Переместить выделение
external.shortcutNewSelection,새 영역 선택 (선택 도구),New area (Selection tool),新しい領域（選択ツール）,新区域（选择工具）,新區域（選取工具）,Новая область (инструмент выделения)
external.shortcutPlaceObject,오브젝트 배치,Place object,オブジェクト配置,放置对象,放置物件,Разместить объект
external.shortcutSizeObject,영역 오브젝트 크기 지정,Size an area object,領域オブジェクトのサイズ,设置区域对象大小,設定區域物件大小,Задать размер объекта-области
external.shortcutObjectProperties,오브젝트 속성,Object properties,オブジェクトのプロパティ,对象属性,物件屬性,Свойства объекта
external.shortcutSelectNode,노드 선택,Select node,ノード選択,选择节点,選取節點,Выбрать узел
external.shortcutDeleteSelected,선택한 방·내용 삭제,Delete selected room or content,選択した部屋・内容を削除,删除所选房间或内容,刪除所選房間或內容,Удалить выбранную комнату или содержимое
external.keyLeftDrag,좌클릭 드래그,Left drag,左ドラッグ,左键拖动,左鍵拖曳,Левая + движение
external.keyMiddleDrag,휠클릭 드래그,Middle drag,中ドラッグ,中键拖动,中鍵拖曳,Средняя + движение
external.keyRightDrag,우클릭 드래그,Right drag,右ドラッグ,右键拖动,右鍵拖曳,Правая + движение
external.keyRight,우클릭,Right click,右クリック,右键单击,右鍵點擊,Правая кнопка
external.keyWheel,휠,Wheel,ホイール,滚轮,滾輪,Колесо
external.keyRoomTitleDrag,방 이름 막대 드래그,Drag room title strip,部屋名の帯をドラッグ,拖动房间名称条,拖曳房間名稱列,Тянуть полосу названия
external.keyRoomHandleDrag,외부 핸들 드래그,Drag outer handle,外側ハンドルをドラッグ,拖动外侧控制点,拖曳外側控制點,Тянуть внешний маркер
external.keyOtherRoomClick,다른 방 클릭,Click another room,別の部屋をクリック,单击其他房间,點擊其他房間,Щёлкнуть другую комнату
external.keySelectionDrag,선택 영역 안쪽 드래그,Drag inside selection,選択領域の内側をドラッグ,在选区内拖动,在選取區內拖曳,Тянуть внутри выделения
external.keyPaletteClick,팔레트 선택 후 클릭,Pick in palette + click,パレットで選んでクリック,在调色板中选择后单击,在調色盤選取後點擊,Выбрать в палитре + щелчок
external.keyNodeClick,노드 클릭,Click node,ノードをクリック,单击节点,點擊節點,Щёлкнуть узел
external.shortcut,단축키,Shortcuts,ショートカット,快捷键,快速鍵,Горячие клавиши
external.confirm,확인,Confirm,確認,确认,確認,Подтвердить
external.continue,계속,Continue,続ける,继续,繼續,Продолжить
external.required,필수 값을 입력하세요.,Enter the required values.,必須項目を入力してください。,请填写必填项。,請填寫必填項目。,Заполните обязательные поля.
external.outline,외곽선,Outline,輪郭線,轮廓线,外框線,Контур
external.outlineHelp,기준 배율(1타일 = 화면 5px)에서의 선 굵기입니다. 맵과 함께 확대·축소되며 입출구 표시에도 같은 굵기를 적용합니다.,Wall thickness at the reference scale (5 screen pixels per tile). Scales with map zoom and matches entrance strokes.,基準倍率（1タイル = 画面上の5px）での線幅です。マップのズームに合わせて変化し、出入口にも同じ太さを適用します。,基准缩放（每图块 5 屏幕像素）下的线宽。随地图缩放，出入口使用相同线宽。,基準縮放（每圖塊 5 螢幕像素）下的線寬。隨地圖縮放，出入口使用相同線寬。,Толщина линий при базовом масштабе (5 экранных пикселей на тайл). Меняется вместе с масштабом карты и одинакова для стен и входов.
external.entranceLength,입출구 길이,Entrance length,出入口の長さ,出入口长度,出入口長度,Длина входа
external.entranceLengthHelp,기준 배율(1타일 = 화면 5px)에서의 입출구 표시 길이입니다. 맵과 함께 확대·축소되며 좁은 연결부에서는 양끝을 같은 비율로 줄입니다.,Marker length at the reference scale (5 screen pixels per tile). Scales with map zoom; short connections limit both ends equally.,基準倍率（1タイル = 画面上の5px）での出入口の印の長さです。ズームに合わせて変化し、短い接続では両端を均等に制限します。,基准缩放（每图块 5 屏幕像素）下的出入口标记长度。随地图缩放，较短连接的两端等量缩短。,基準縮放（每圖塊 5 螢幕像素）下的出入口標記長度。隨地圖縮放，較短連接的兩端等量縮短。,Длина меток входов при базовом масштабе (5 экранных пикселей на тайл). Меняется вместе с масштабом карты; в коротких соединениях оба конца сокращаются одинаково.
external.workspaceHint,16×16 타일 · 자동 타일 연결,16×16 tiles · Automatic tile connections,16×16タイル · 自動接続,16×16 图块 · 自动连接,16×16 圖塊 · 自動連接,Тайлы 16×16 · Автоматические соединения
external.edit,편집,Edit,編集,编辑,編輯,Правка
external.deleteRoom,방 삭제,Delete room,部屋を削除,删除房间,刪除房間,Удалить комнату
external.objectProperties,객체 속성,Object properties,オブジェクトのプロパティ,对象属性,物件屬性,Свойства объекта
external.selected,개 선택됨,selected,個を選択,个已选中,個已選取,выбрано
external.applyTransform,위치·크기 적용,Apply transform,位置・サイズを適用,应用变换,套用變換,Применить преобразование
external.applyProperties,속성 적용,Apply properties,プロパティを適用,应用属性,套用屬性,Применить свойства
external.mixed,혼합 값 — 입력하면 모두 적용,Mixed — edit to apply to all,値が混在 — 入力で一括適用,值不同 — 输入后应用到全部,值不同 — 輸入後套用至全部,Разные значения — ввод применит ко всем
external.cameraSize,시야 크기,View size,表示サイズ,视野大小,視野大小,Размер обзора
